ID,SMILES,Status
rad_0274,C=CC1=C[CH]C1,Pending
rad_0275,C=CC1=[C]CC1,Pending
rad_0276,C=CC1=CC[CH]1,Pending
rad_0277,C=[C]C1=CCC1,Pending
rad_0278,[CH]=CC1=CCC1,Pending
rad_0279,[CH2]C1=CCC1C,Pending
rad_0280,C[C]1CC=C1C,Pending
rad_0281,CC1=C[CH]C1C,Pending
rad_0282,CC1=[C]CC1C,Pending
rad_0283,[CH2]C1CC=C1C,Pending
rad_0284,C=[C]C1=CC1C,Pending
rad_0285,[CH]=CC1=CC1C,Pending
rad_0286,C=CC1=[C]C1C,Pending
rad_0287,C=CC1=C[C]1C,Pending
rad_0288,[CH2]C1C=C1C=C,Pending
rad_0289,C=C[C]1CCC1,Pending
rad_0290,C=[C]C1CCC1,Pending
rad_0291,C=CC1[CH]CC1,Pending
rad_0292,[CH]=CC1CCC1,Pending
rad_0293,C=CC1C[CH]C1,Pending
rad_0294,CC1=[C]C=C1C,Pending
rad_0295,[CH2]C1=CC=C1C,Pending
rad_0296,CC=C1C[C]1C,Pending
rad_0297,C[C]=C1CC1C,Pending
rad_0298,[CH2]C=C1CC1C,Pending
rad_0299,[CH2]C1CC1=CC,Pending
rad_0300,CC=C1[CH]C1C,Pending
rad_0301,CC1[C]=CC=C1,Pending
rad_0302,C[C]1C=CC=C1,Pending
rad_0303,[CH2]C1C=CC=C1,Pending
rad_0304,CC1C=[C]C=C1,Pending
rad_0305,[CH2]C1=CC1CC,Pending
rad_0306,CC[C]1C=C1C,Pending
rad_0307,C[CH]C1C=C1C,Pending
rad_0308,CCC1[C]=C1C,Pending
rad_0309,[CH2]CC1C=C1C,Pending
rad_0310,[C]1=CCC=CC1,Pending
rad_0311,[CH]1C=CCC=C1,Pending
rad_0312,C[C]1C(C)=C1C,Pending
rad_0313,[CH2]C1C(C)=C1C,Pending
rad_0314,[CH2]C1=C(C)C1C,Pending
rad_0315,C=C1C=[C]C1C,Pending
rad_0316,C=C1[C]=CC1C,Pending
rad_0317,[CH]=C1C=CC1C,Pending
rad_0318,C=C1C=C[C]1C,Pending
rad_0319,[CH2]C1C=CC1=C,Pending
rad_0320,[CH2]C1=C(C)C1=C,Pending
rad_0321,[CH]=C1C(C)=C1C,Pending
rad_0322,C=[C]CC1=CC1,Pending
rad_0323,C=C[CH]C1=CC1,Pending
rad_0324,[CH]=CCC1=CC1,Pending
rad_0325,C=CCC1=C[CH]1,Pending
rad_0326,C=CCC1=[C]C1,Pending
rad_0327,[CH]1C=CCCC1,Pending
rad_0328,[CH]1CC=CCC1,Pending
rad_0329,[C]1=CCCCC1,Pending
rad_0330,[CH2]C1=CC(=C)C1,Pending
rad_0331,C=C1[CH]C(C)=C1,Pending
rad_0332,C=C1[C]=C(C)C1,Pending
rad_0333,[CH]=C1C=C(C)C1,Pending
rad_0334,CC(C)C1[C]=C1,Pending
rad_0335,CC(C)[C]1C=C1,Pending
rad_0336,C[C](C)C1C=C1,Pending
rad_0337,[CH2]C(C)C1C=C1,Pending
rad_0338,C[C](C)C1=CC1,Pending
rad_0339,[CH2]C(C)C1=CC1,Pending
rad_0340,CC(C)C1=[C]C1,Pending
rad_0341,CC(C)C1=C[CH]1,Pending
rad_0342,C=CC1[CH]C=C1,Pending
rad_0343,C=C[C]1C=CC1,Pending
rad_0344,C=[C]C1C=CC1,Pending
rad_0345,C=CC1[C]=CC1,Pending
rad_0346,[CH]=CC1C=CC1,Pending
rad_0347,C=CC1C=[C]C1,Pending
rad_0348,C=CC=C1[CH]C1,Pending
